area_type,availability,location,size,total_sqft,bath,balcony,price
3,Ready To Move,KUDLU MAIN ROAD,3 BHK,1464,3.0,3.0,56.0
3,18-Dec,Seegehalli,2 BHK,920,2.0,1.0,27.0
0,Ready To Move,Yelahanka,1 BHK,651,1.0,1.0,17.5
3,Ready To Move,Chikkabanavar,2 BHK,600,1.0,2.0,25.0
3,18-Sep,Chandapura,1 BHK,645,1.0,1.0,16.45
3,Ready To Move,Thanisandra,2 BHK,1185,2.0,2.0,44.0
3,18-May,Electronics City Phase 1,2 BHK,1190,2.0,1.0,68.0
2,Ready To Move,Harohalli,2 Bedroom,2.09Acres,2.0,0.0,200.0
3,18-Dec,Whitefield,4 BHK,2830 - 2882,5.0,0.0,158.5
3,Ready To Move,Whitefield,2 BHK,1355,2.0,3.0,73.0
2,Ready To Move,KR Puram,2 Bedroom,1200,1.0,0.0,65.0
2,Ready To Move,Kundalahalli,4 Bedroom,7000,4.0,3.0,550.0
2,Ready To Move,Ramamurthy Nagar,6 Bedroom,1200,4.0,1.0,110.0
3,Ready To Move,Yelahanka New Town,1 BHK,500,2.0,1.0,24.0
3,Ready To Move,Bommasandra Industrial Area,3 BHK,1250,3.0,3.0,50.0
0,Ready To Move,Uttarahalli,3 BHK,1480,2.0,1.0,58.0
0,Ready To Move,Ambalipura,4 BHK,3300,4.0,2.0,329.0
3,18-May,KR Puram,3 BHK,1482 - 1684,2.0,2.0,70.445
3,Ready To Move,Green Woods Layout,2 BHK,1206,2.0,1.0,53.0
3,18-Aug,Rajaji Nagar,2 BHK,1357,2.0,1.0,130.0
0,Ready To Move,Hosakerehalli,2 BHK,925,2.0,1.0,46.5
3,Ready To Move,8th Phase JP Nagar,2 BHK,909,2.0,1.0,40.9
2,Ready To Move,Seegehalli,3 Bedroom,3000,5.0,2.0,335.0
0,Ready To Move,Brookefield,2 BHK,1100,2.0,1.0,55.0
2,18-May,Malleshwaram,4 Bedroom,3000,5.0,2.0,815.0
3,Ready To Move,Vidyaranyapura,2 BHK,1100,2.0,1.0,54.0
3,Ready To Move,Subramanyapura,2 BHK,975,2.0,1.0,65.0
3,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1306,2.0,2.0,44.17
2,Ready To Move,Roopena Agrahara,4 Bedroom,1200,4.0,1.0,95.0
3,Ready To Move,Kalena Agrahara,1 BHK,610,1.0,1.0,39.0
3,Ready To Move,Yelahanka,3 BHK,1484,2.0,2.0,56.4
3,17-May,Ramamurthy Nagar,2 BHK,1125,2.0,1.0,47.0
3,18-Jul,Bhoganhalli,2 BHK,1447,2.0,1.0,75.97
3,18-Dec,Whitefield,4 BHK,2882,5.0,1.0,158.0
2,Ready To Move,Vidyaranyapura,4 Bedroom,750,4.0,0.0,88.0
3,Ready To Move,Kundalahalli,3 BHK,2075,3.0,1.0,115.0
0,Ready To Move,Stage-4 Bommanahalli,2 BHK,1250,2.0,1.0,58.0
3,Ready To Move,Horamavu Banaswadi,2 BHK,1272,2.0,2.0,51.5
2,Ready To Move,Banashankari Stage II,4 Bedroom,1050,3.0,2.0,125.0
3,18-Aug,Venkateshpuram,2 BHK,625,2.0,1.0,24.0
0,Ready To Move,1st Phase JP Nagar,1 BHK,840,2.0,2.0,50.0
3,Ready To Move,Hennur Road,4 BHK,2502,4.0,2.0,180.0
3,Ready To Move,Rayasandra,1 BHK,583,1.0,1.0,26.9
3,18-Dec,Gunjur Palya,2 BHK,900,2.0,1.0,27.0
3,Ready To Move,Sarjapur  Road,2 BHK,1115,2.0,2.0,50.0
3,Ready To Move,HOSUR MAIN ROAD,2 BHK,1464,2.0,2.0,56.0
0,18-Mar,Kanakapura,3 Bedroom,2200,3.0,1.0,121.0
3,19-Dec,Whitefield,1 BHK,750,1.0,1.0,51.0
3,Ready To Move,Marathahalli,3 BHK,1600,3.0,3.0,58.0
3,Ready To Move,Chikkalasandra,3 BHK,1365,2.0,2.0,49.0
0,21-Dec,"Judicial Layout, Kanakapura Road, ",3 BHK,1300,3.0,2.0,64.0
0,Ready To Move,Kurubarahalli,1 Bedroom,1200,1.0,0.0,69.0
3,Ready To Move,Hormavu,2 BHK,1260,2.0,2.0,35.0
3,Ready To Move,Electronics City Phase 1,2 BHK,1190,2.0,2.0,33.92
3,Ready To Move,Hosakerehalli,3 BHK,2480,4.0,1.0,260.0
3,18-May,Vishwapriya Layout,3 BHK,1250,3.0,2.0,38.0
0,Ready To Move,Kaggadasapura,3 BHK,1500,3.0,0.0,75.0
3,Ready To Move,Banashankari Stage V,3 BHK,1510,3.0,3.0,47.57
3,19-Jan,7th Phase JP Nagar,2 BHK,1187,2.0,1.0,59.0
3,Ready To Move,Kundalahalli,2 BHK,1120,2.0,1.0,53.76
3,20-Dec,Whitefield,2 BHK,981 - 1249,2.0,0.0,34.555
3,Ready To Move,Dodsworth Layout,3 BHK,1717,3.0,3.0,99.0
0,Ready To Move,Mullur,3 BHK,2099,3.0,2.0,95.0
3,Ready To Move,Kasturi Nagar,2 BHK,1100,2.0,2.0,58.0
2,Ready To Move,Hegganahalli,1 Bedroom,1200,1.0,0.0,48.0
0,Ready To Move,Bannerghatta Road,3 BHK,1465,2.0,1.0,45.87
2,Ready To Move,Kothanur,1 Bedroom,1500,1.0,0.0,75.0
2,Ready To Move,Prashanth Nagar,5 Bedroom,4050,4.0,1.0,600.0
3,Ready To Move,Haralur Road,3 BHK,1255,2.0,1.0,90.0
3,Ready To Move,5th Phase JP Nagar,2 BHK,1220,2.0,3.0,88.0
0,18-Aug,Electronic City Phase II,2 BHK,1065,2.0,1.0,30.88
0,Ready To Move,Sultan Palaya,3 BHK,1765,3.0,3.0,80.0
3,Ready To Move,Bellandur,2 BHK,1281,2.0,2.0,87.0
3,Ready To Move,Electronic City,2 BHK,1210,2.0,2.0,25.0
1,Ready To Move,Kaggadasapura,2 BHK,1215,2.0,3.0,43.0
2,Ready To Move,Ananth Nagar,4 Bedroom,1200,3.0,1.0,87.0
3,Ready To Move,Mysore Road,2 BHK,1237,2.0,2.0,73.0
3,Ready To Move,Lakshminarayana Pura,2 BHK,1300,2.0,1.0,70.0
3,Ready To Move,Whitefield,2 BHK,1105,2.0,2.0,39.99
3,Ready To Move,Chandapura,3 BHK,1505,2.0,2.0,42.0
3,Ready To Move,Hebbal Kempapura,4 BHK,3900,5.0,2.0,310.0
0,Ready To Move,Banashankari,2 BHK,1186,2.0,3.0,65.0
2,Ready To Move,Byrathi Village,4 Bedroom,900,3.0,1.0,51.0
3,Ready To Move,Kengeri,2 BHK,750,2.0,1.0,35.5
0,Ready To Move,Varthur,2 BHK,1083,2.0,2.0,28.0
0,Ready To Move,Nagaraja Garden,3 BHK,1430,2.0,1.0,78.65
3,Ready To Move,Thanisandra,2 BHK,1056,2.0,2.0,68.0
3,Ready To Move,VGP Layout,3 BHK,2108,3.0,3.0,85.0
3,Ready To Move,Banashankari,3 BHK,1650,3.0,2.0,101.0
0,18-Jul,Electronic City Phase II,3 BHK,1220,3.0,1.0,36.6
3,Ready To Move,Rayasandra,2 BHK,1198,2.0,1.0,54.0
3,Ready To Move,Ejipura,2 BHK,1190,2.0,1.0,70.0
0,21-Dec,"Judicial Layout, Kanakapura Road, ",2 BHK,900,2.0,1.0,41.0
3,19-Dec,J.P.nagar 6th Phase.Sarakki Nagar,4 BHK,2690,4.0,2.0,185.0
0,Ready To Move,Kanakapura,2 BHK,1340,2.0,2.0,65.0
2,18-Sep,Bommenahalli,4 Bedroom,2940,3.0,2.0,2250.0
2,Ready To Move,Giri Nagar,6 Bedroom,2400,6.0,1.0,400.0
2,Immediate Possession,Whitefield,,2324,2.0,2.0,26.73
3,19-Dec,Yelahanka,2 BHK,1260,2.0,2.0,59.2
3,21-Feb,Talaghattapura,3 BHK,2254,3.0,2.0,153.0
3,Ready To Move,Old Madras Road,3 BHK,2990,5.0,1.0,210.0
0,Ready To Move,1st Block BEL Layout,4 Bedroom,1800,5.0,1.0,250.0
0,Ready To Move,JP Nagar,2 BHK,820,2.0,1.0,45.0
3,Ready To Move,Electronic City,2 BHK,1296,2.0,2.0,65.0
3,Ready To Move,Uttarahalli,2 BHK,1190,2.0,1.0,53.55
3,19-Dec,Whitefield,2 BHK,1173,2.0,1.0,77.0
2,16-Dec,Sarjapura - Attibele Road,3 Bedroom,1800,3.0,2.0,90.0
0,Ready To Move,Yelahanka,2 BHK,1102,2.0,0.0,52.0
3,Ready To Move,Sarjapur,2 BHK,913,2.0,1.0,36.0
3,18-Apr,Hormavu,3 BHK,1176,2.0,1.0,35.27
0,Ready To Move,Prithvi Layout,3 BHK,1620,3.0,2.0,65.0
3,Ready To Move,Billekahalli,3 BHK,2968,3.0,2.0,225.0
3,17-Dec,Yelahanka,2 BHK,1519,2.0,3.0,65.0
3,Ready To Move,Hosur Road,2 BHK,1345,2.0,2.0,106.0
3,19-Dec,Dodsworth Layout,3 BHK,1594,3.0,2.0,99.0
3,Ready To Move,Kaverappa Layout,2 BHK,1250,2.0,1.0,68.0
3,Ready To Move,Haralur Road,2 BHK,1056,2.0,1.0,60.0
2,18-Dec,Whitefield,3 Bedroom,1200,3.0,1.0,68.4
2,Ready To Move,Kothnur Narayanapura,2 Bedroom,1290,1.0,0.0,77.5
0,Ready To Move,Amruthnagar,2 BHK,1150,2.0,1.0,48.0
3,Ready To Move,Ambedkar Colony,2 BHK,1464,2.0,1.0,145.0
2,Ready To Move,Anekal,4 Bedroom,1200,2.0,1.0,36.0
0,Ready To Move,Gollarapalya Hosahalli,2 BHK,861,2.0,0.0,36.5
3,Ready To Move,Kundalahalli,2 BHK,1047,2.0,1.0,82.62
2,Ready To Move,Lakshmipura,2 Bedroom,1200,2.0,0.0,75.0
2,Ready To Move,Kirloskar Layout,10 Bedroom,1200,10.0,2.0,190.0
0,Ready To Move,Hongasandra,2 BHK,1065,2.0,1.0,45.0
0,Ready To Move,Rajaji Nagar,3 BHK,2300,3.0,3.0,369.0
3,Ready To Move,Ramamurthy Nagar,2 BHK,1000,2.0,1.0,62.0
3,Ready To Move,Lingadheeranahalli,3 BHK,1682,3.0,1.0,113.0
3,Ready To Move,Harlur,3 BHK,1756,3.0,2.0,131.0
2,Ready To Move,BEL Road,5 Bedroom,4000,4.0,2.0,1000.0
3,Ready To Move,Vignana Nagar,4 BHK,1050,4.0,2.0,90.0
3,Ready To Move,Vittasandra,2 BHK,1238,2.0,1.0,67.32
3,Ready To Move,Dasanapura,2 BHK,814,2.0,1.0,42.0
0,Ready To Move,Dodda Nekkundi,2 BHK,1145,2.0,1.0,46.5
3,Ready To Move,Varthur,2 BHK,965,2.0,1.0,34.0
3,Ready To Move,Doddabele,2 BHK,750,2.0,1.0,36.0
0,Ready To Move,Banashankari,3 BHK,1300,2.0,2.0,55.0
3,18-May,1st Phase JP Nagar,3 BHK,1590,3.0,3.0,131.0
3,20-Aug,Begur Road,1 BHK,644,1.0,1.0,40.0
3,18-Mar,Whitefield,2 BHK,982,2.0,1.0,37.0
3,Ready To Move,Indira Nagar,2 BHK,1260,2.0,2.0,100.0
3,Ready To Move,Rayasandra,3 BHK,1555,3.0,2.0,75.17
0,Ready To Move,Race Course Road,4 Bedroom,2500,4.0,1.0,450.0
3,18-Aug,Kaggadasapura,2 BHK,1225,2.0,2.0,48.0
3,Ready To Move,Electronics City Phase 1,2 BHK,1085,2.0,1.0,46.0
3,Ready To Move,Rajaji Nagar,3 BHK,1640,3.0,2.0,220.0
0,18-Aug,Thanisandra,3 BHK,1595,3.0,1.0,110.0
3,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1196,2.0,2.0,40.44
3,18-Mar,Yelahanka,3 BHK,1859,3.0,1.0,108.0
3,21-Sep,9th Phase JP Nagar,2 BHK,1079,2.0,1.0,60.0
0,Ready To Move,Shivaji Nagar,2 BHK,550,1.0,1.0,27.0
3,Ready To Move,Whitefield,2 BHK,1118,2.0,1.0,42.0
3,Ready To Move,CV Raman Nagar,2 BHK,1198,2.0,2.0,60.0
3,18-Jun,Chandapura,3 BHK,1100 - 1225,2.0,2.0,30.215
3,Ready To Move,Thigalarapalya,3 BHK,1830,4.0,2.0,135.0
3,20-Oct,Banashankari Stage VI,2 BHK,1160,2.0,1.0,59.0
3,Ready To Move,Srirampuram,3 BHK,1485,2.0,1.0,156.0
3,Ready To Move,Ejipura,3 BHK,2070,3.0,3.0,135.0
2,Ready To Move,Basaveshwara Nagar,6 Bedroom,750,4.0,1.0,150.0
0,17-Mar,Kannamangala,2 BHK,957,2.0,0.0,52.5
2,Ready To Move,Basaveshwara Nagar,5 Bedroom,2400,4.0,1.0,310.0
3,18-Dec,Bannerghatta Road,2 BHK,1268,2.0,1.0,69.0
3,Ready To Move,Bannerghatta Road,3 BHK,1450,2.0,2.0,87.0
0,Ready To Move,Manorayana Palya,3 BHK,1600,2.0,2.0,75.0
3,Ready To Move,Uttarahalli,3 BHK,1330,2.0,1.0,57.0
3,Ready To Move,Jakkur,3 BHK,1355,2.0,2.0,65.0
3,Ready To Move,Horamavu Banaswadi,2 BHK,1272,2.0,2.0,51.5
3,Ready To Move,Abbaiah Reddy Layout,2 BHK,1100,2.0,1.0,38.49
3,Ready To Move,Sarjapur  Road,3 BHK,1220,3.0,2.0,58.0
3,Ready To Move,Chikkalasandra,2 BHK,1075,2.0,1.0,46.76
3,Ready To Move,Lingarajapuram,2 BHK,800,2.0,1.0,55.0
3,Ready To Move,Vasanthapura,2 BHK,995,2.0,1.0,34.82
0,Ready To Move,Vasantha Vallabha Nagar,2 BHK,900,1.0,1.0,44.0
3,Ready To Move,Haralur Road,2 BHK,1140,2.0,1.0,42.0
3,Ready To Move,Ganga Nagar,3 BHK,1480,2.0,2.0,125.0
3,18-May,Padmanabhanagar,3 BHK,1710,2.0,2.0,90.63
3,21-Dec,Talaghattapura,3 BHK,2106,3.0,3.0,148.0
2,Ready To Move,Yeshwanthpur,9 Bedroom,2400,6.0,2.0,270.0
2,Ready To Move,Sadahalli,3 Bedroom,3800,2.0,2.0,130.0
2,Ready To Move,Vajarahalli,3 Bedroom,800,3.0,2.0,120.0
3,Ready To Move,Marathahalli,2 BHK,1602,2.0,2.0,104.0
3,Ready To Move,Sarjapur  Road,3 BHK,1660,2.0,2.0,116.0
3,Ready To Move,Electronic City Phase II,3 BHK,1549,3.0,2.0,80.0
3,19-Mar,Marathahalli,1 BHK,700,1.0,1.0,38.0
3,18-Dec,Balagere,2 BHK,1012,2.0,1.0,64.0
3,19-Dec,Marathahalli,3 BHK,1469,3.0,1.0,89.0
3,18-Aug,Whitefield,2 BHK,1216,2.0,1.0,69.0
3,Ready To Move,Electronic City Phase II,2 BHK,1065,2.0,1.0,56.13
3,19-Mar,Thanisandra,3 BHK,1411,3.0,1.0,93.15
3,Ready To Move,Pai Layout,2 BHK,1400,2.0,2.0,57.5
3,Ready To Move,Hoskote,3 BHK,1250,3.0,2.0,29.0
3,Ready To Move,Haralur Road,2 BHK,1245,2.0,3.0,62.0
3,Ready To Move,Choodasandra,2 BHK,1115,2.0,1.0,50.0
3,Ready To Move,Vidyaranyapura,2 BHK,1000,2.0,1.0,35.0
3,18-Mar,Panathur,3 BHK,1565 - 1595,3.0,0.0,71.89
3,Ready To Move,Subramanyapura,3 BHK,1800,3.0,2.0,90.0
3,Ready To Move,Mathikere,2 BHK,1500,2.0,2.0,130.0
3,18-Sep,Chandapura,1 BHK,645,1.0,1.0,16.45
3,18-Jun,Kothannur,3 BHK,1275,3.0,2.0,44.0
3,Ready To Move,Kasavanhalli,3 BHK,1494,3.0,2.0,82.0
3,Ready To Move,Bhoganhalli,3 BHK,1949,3.0,2.0,129.0
3,Ready To Move,BTM Layout,2 BHK,1020,2.0,1.0,46.5
3,Ready To Move,Mysore Road,2 BHK,883,2.0,1.0,45.0
0,Ready To Move,Old Airport Road,4 BHK,3200,4.0,2.0,280.0
2,Ready To Move,Uttarahalli,6 Bedroom,1680,6.0,1.0,125.0
2,Ready To Move,Mysore Road,12 Bedroom,2232,6.0,2.0,300.0
3,Ready To Move,Anand nagar,3 BHK,2010,3.0,3.0,125.0
3,Ready To Move,Yeshwanthpur,2 BHK,1240,2.0,2.0,80.0
3,Ready To Move,6th Phase JP Nagar,2 BHK,1213,2.0,1.0,63.0
3,Ready To Move,Hegde Nagar,3 BHK,1835,3.0,3.0,88.0
2,Ready To Move,Hoskote,9 Bedroom,1800,10.0,3.0,185.0
3,Ready To Move,Bannerghatta Road,4 BHK,2932,5.0,2.0,195.0
0,Ready To Move,Whitefield,4 Bedroom,3425,5.0,2.0,250.0
0,Ready To Move,Gottigere,2 BHK,945,2.0,0.0,45.0
3,Ready To Move,Sathya Layout,3 BHK,1504,2.0,2.0,100.0
3,Ready To Move,Lakshminarayana Pura,3 BHK,1569,3.0,2.0,150.0
3,Ready To Move,Harlur,3 BHK,1755,3.0,2.0,130.0
3,Ready To Move,Vijayanagar,3 BHK,1760,3.0,2.0,140.0
3,18-May,Hoodi,2 BHK,1240,2.0,3.0,43.94
3,19-Dec,Electronics City Phase 1,3 BHK,1450,3.0,2.0,72.54
3,Ready To Move,5th Phase JP Nagar,2 BHK,1000,2.0,0.0,48.0
2,Ready To Move,Shivaji Nagar,1 Bedroom,3820,1.0,1.0,306.0
3,Ready To Move,Thyagaraja Nagar,5 BHK,2000,4.0,2.0,145.0
3,Ready To Move,Choodasandra,2 BHK,1215,2.0,2.0,59.0
2,Ready To Move,5 Bedroom Farm House in Lakshmipura,5 Bedroom,24Guntha,6.0,2.0,550.0
3,Ready To Move,Yelachenahalli,3 BHK,1330,3.0,3.0,73.5
3,18-Aug,Raja Rajeshwari Nagar,2 BHK,1178,2.0,1.0,75.0
2,18-Aug,Hulimavu,4 Bedroom,1500,4.0,3.0,192.0
3,Ready To Move,Shree Ananth Nagar Layout,2 BHK,2040,2.0,2.0,59.0
3,18-Mar,Bellandur,3 BHK,2000,3.0,2.0,85.0
3,18-May,Shanti Nagar,3 BHK,1602,2.0,1.0,165.0
2,Ready To Move,2nd Stage Arekere Mico Layout,4 Bedroom,1200,4.0,1.0,130.0
3,Ready To Move,Parappana Agrahara,2 BHK,1194,2.0,2.0,46.0
0,Ready To Move,Jayamahal,3 BHK,1800,3.0,1.0,220.0
2,Ready To Move,Dasarahalli,3 Bedroom,2400,2.0,1.0,152.0
3,Ready To Move,Sarjapur  Road,3 BHK,1700,3.0,3.0,108.0
0,Ready To Move,Jigani,3 BHK,1200,3.0,2.0,65.0
2,Ready To Move,Veer Sandra,3 Bedroom,1500,3.0,0.0,72.0
2,Ready To Move,Karuna Nagar,3 Bedroom,1240,3.0,2.0,165.0
0,Ready To Move,Whitefield,3 Bedroom,3000,3.0,2.0,400.0
0,Ready To Move,Kanakpura Road,3 BHK,1737,3.0,3.0,85.0
2,Ready To Move,TC Palaya,2 Bedroom,900,2.0,0.0,55.0
0,Ready To Move,Chennappa Layout,3 BHK,1280,2.0,1.0,48.0
3,Ready To Move,CV Raman Nagar,2 BHK,1560,2.0,2.0,85.0
3,Ready To Move,Kambipura,2 BHK,883,2.0,1.0,44.0
3,Ready To Move,Kengeri Satellite Town,2 BHK,750,2.0,1.0,33.0
3,Ready To Move,Brookefield,4 BHK,2400,3.0,3.0,140.0
3,Ready To Move,Bhuvaneshwari Nagar,2 BHK,900,2.0,1.0,45.0
3,Ready To Move,Hormavu,2 BHK,1030,2.0,1.0,49.35
3,Ready To Move,7th Phase JP Nagar,3 BHK,1850,3.0,2.0,155.0
0,Ready To Move,Hennur Road,3 BHK,1831,3.0,1.0,110.0
3,Ready To Move,Raja Rajeshwari Nagar 5th Stage,2 BHK,1095,2.0,1.0,38.33
0,18-Jul,Electronic City Phase II,3 BHK,1320,2.0,1.0,38.13
3,Ready To Move,Sarjapur  Road,3 BHK,1270 - 1275,2.0,0.0,40.72
0,Ready To Move,7th Phase JP Nagar,2 BHK,1000,2.0,1.0,61.0
3,Ready To Move,Budigere,3 BHK,1820,3.0,2.0,85.4
3,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,41.0
2,18-May,TC Palaya,3 Bedroom,1500,3.0,0.0,83.0
3,Ready To Move,Electronics City Phase 1,1 RK,360,1.0,0.0,16.9
3,Ready To Move,Kadugodi,1 BHK,840 - 1010,1.0,0.0,40.7
3,21-Dec,Electronic City,2 BHK,1140,2.0,1.0,70.93
3,18-Oct,Chennammana Kere,2 BHK,1145,2.0,2.0,58.4
3,Ready To Move,RMV Extension Stage 2,3 BHK,1862,3.0,3.0,120.0
3,Ready To Move, Devarachikkanahalli,2 BHK,947,2.0,2.0,43.0
0,Ready To Move,Langford Town,4 BHK,697Sq. Meter,4.0,2.0,211.0
2,Ready To Move,Chandra Layout,3 Bedroom,700,3.0,2.0,195.0
3,Ready To Move,Kalena Agrahara,2 BHK,1120,2.0,2.0,40.0
0,Ready To Move,Sadanand Nagar,3 BHK,2700,3.0,3.0,200.0
3,Ready To Move,Kaggadasapura,3 BHK,1805,2.0,2.0,75.0
3,Ready To Move,Basavangudi,2 BHK,1100,2.0,3.0,93.0
2,Ready To Move,Bommenahalli,4 Bedroom,1355,3.0,0.0,135.0
0,18-Dec,"Whietfield, ",3 BHK,1677,3.0,2.0,98.0
0,Ready To Move,Hosapalya,8 Bedroom,2500,8.0,3.0,95.0
3,Ready To Move,Uttarahalli,3 BHK,1560,3.0,3.0,74.0
3,Ready To Move,Arekere,3 BHK,2060,3.0,2.0,150.0
3,Ready To Move,Koramangala,3 BHK,1716,2.0,0.0,115.0
3,Ready To Move,Harlur,3 BHK,1864,3.0,1.0,140.0
0,Ready To Move,Electronics City Phase 1,1 BHK,638,1.0,1.0,32.0
2,Ready To Move,Sidedahalli,9 Bedroom,1200,7.0,3.0,95.0
3,Ready To Move,Kodigehalli,8 BHK,1150,9.0,2.0,170.0
3,18-Dec,Chandapura,2 BHK,937,2.0,1.0,30.0
0,Ready To Move,Hennur Gardens,3 BHK,1490,2.0,1.0,115.0
3,Ready To Move,Frazer Town,4 BHK,4856,5.0,3.0,410.0
2,Ready To Move,Whitefield,4 Bedroom,4003,6.0,1.0,525.0
3,17-May,Whitefield,2 BHK,1100,2.0,1.0,37.0
3,Ready To Move,Thigalarapalya,2 BHK,1000,2.0,2.0,48.53
3,Ready To Move,Horamavu Agara,2 BHK,1060,2.0,1.0,37.0
3,Ready To Move,Kundalahalli,2 BHK,1047,2.0,1.0,91.0
0,Ready To Move,Basaveshwara Nagar,2 BHK,1200,2.0,2.0,80.0
3,Ready To Move,Akshaya Nagar,3 BHK,1420,2.0,2.0,75.0
3,Ready To Move,Sarjapur  Road,3 BHK,1539,3.0,2.0,85.0
3,Ready To Move,Tejaswini Nagar,3 BHK,1550,3.0,1.0,59.0
3,Ready To Move,Kasavanhalli,3 BHK,1555,3.0,3.0,82.0
2,Ready To Move,BTM Layout 1stage 9th Main,7 Bedroom,600,6.0,2.0,138.0
3,Ready To Move,Seegehalli,3 BHK,1553,3.0,3.0,68.0
3,Ready To Move,Electronic City Phase II,2 BHK,920,2.0,2.0,26.0
3,Ready To Move,Jeevan bima nagar,3 BHK,1740,3.0,3.0,120.0
3,Ready To Move,OMBR Layout,3 BHK,1855,3.0,2.0,145.0
3,18-Mar,Kundalahalli,3 BHK,1724,3.0,1.0,146.0
3,Ready To Move,B Narayanapura,2 BHK,1020,2.0,2.0,60.0
2,Ready To Move,Banaswadi,6 Bedroom,1000,4.0,2.0,150.0
3,Ready To Move,Uttarahalli,3 BHK,1250,2.0,1.0,50.0
3,Ready To Move,Sanjay nagar,3 BHK,1450,3.0,2.0,75.0
3,Ready To Move,Thubarahalli,2 BHK,1200,2.0,2.0,80.0
0,Ready To Move,Haralur Road,2 BHK,1140,2.0,2.0,58.0
2,Ready To Move,Hoskote,5 Bedroom,900,5.0,2.0,110.0
3,Ready To Move,Basava Nagar,1 BHK,550,1.0,1.0,16.0
3,17-Oct,Bannerghatta Road,3 BHK,1450,3.0,1.0,44.0
2,Immediate Possession,Jigani,,1500,2.0,2.0,25.49
3,21-Dec,Kanakpura Road,2 BHK,700,2.0,1.0,35.07
2,18-Jul,Whitefield,3 Bedroom,1200,3.0,1.0,56.0
3,Ready To Move,Yelahanka,2 BHK,1050,2.0,1.0,45.0
3,Ready To Move,Somasundara Palya,3 BHK,1600,3.0,3.0,69.0
3,Ready To Move,Bannerghatta Road,3 BHK,1625,2.0,3.0,75.0
3,Ready To Move,Volagerekallahalli,2 BHK,1492,2.0,2.0,65.0
3,18-Dec,Whitefield,4 BHK,2830 - 2882,5.0,0.0,157.5
3,Ready To Move,Sarjapur  Road,3 BHK,1489,2.0,3.0,82.0
3,Ready To Move,Kanakapura,3 BHK,1560,2.0,2.0,62.38
3,Ready To Move,Haralur Road,2 BHK,1140,2.0,2.0,42.0
3,Ready To Move,Lavakusha Nagar,3 BHK,1431,3.0,2.0,65.0
3,Ready To Move,Lingadheeranahalli,3 BHK,1682,3.0,1.0,114.0
3,18-Feb,Panathur,2 BHK,1198,2.0,1.0,86.26
2,18-May,Outer Ring Road East,3 Bedroom,3664,3.0,2.0,325.0
3,Ready To Move,Sarjapur  Road,3 BHK,1550,2.0,2.0,69.75
3,Ready To Move,Kodichikkanahalli,2 BHK,1026,2.0,1.0,45.0
0,Ready To Move,Hennur,3 BHK,1260,2.0,2.0,52.0
2,Ready To Move,Singanayakanahalli,2 Bedroom,690,2.0,0.0,42.0
3,Ready To Move,Sarjapur  Road,1 BHK,539,1.0,1.0,45.0
0,Ready To Move,Sarakki Nagar,4 Bedroom,1200,4.0,1.0,85.0
0,Ready To Move,Attibele,3 Bedroom,2400,3.0,3.0,120.0
3,Ready To Move,Thubarahalli,2 BHK,1200,2.0,2.0,79.55
2,Ready To Move,Kundalahalli,4 Bedroom,2500,5.0,2.0,350.0
3,Ready To Move,Sarjapur  Road,3 BHK,1186,2.0,2.0,40.0
3,Ready To Move,Thanisandra,2 BHK,1039,2.0,2.0,39.5
2,Ready To Move,Mahalakshmi Puram,4 Bedroom,1500,5.0,3.0,233.0
2,Ready To Move,Gottigere,5 Bedroom,1500,4.0,1.0,100.0
3,Ready To Move,Malleshwaram,3 BHK,2520,3.0,2.0,150.0
0,Ready To Move,Brookefield,2 BHK,1225,2.0,2.0,66.5
0,Ready To Move,Bommanahalli,2 BHK,1350,2.0,2.0,72.0
3,Ready To Move,Vittal Mallya Road,2 BHK,1030,2.0,2.0,300.0
0,Ready To Move,Whitefield,3 BHK,1550,2.0,2.0,49.6
3,Ready To Move,Hoodi,3 BHK,1490,3.0,2.0,79.0
3,Ready To Move,Brindavan Nagar,3 BHK,1520,3.0,2.0,111.0
2,Ready To Move,Whitefield,4 Bedroom,4100,4.0,2.0,550.0
0,Ready To Move,Dena Bank Colony,3 BHK,1391,2.0,3.0,64.5
3,Ready To Move,Rachenahalli,2 BHK,1200,2.0,2.0,50.0
2,Ready To Move,Kadabagere,4 Bedroom,1200,4.0,2.0,86.0
2,Ready To Move,1st Block HBR Layout,5 Bedroom,2500,6.0,3.0,500.0
3,Ready To Move,Yelahanka,2 BHK,1322,2.0,2.0,80.0
3,19-Dec,Whitefield,3 BHK,2173,3.0,2.0,128.0
3,Ready To Move,Sarjapur  Road,2 BHK,1200,2.0,2.0,75.0
3,Ready To Move,Thubarahalli,2 BHK,1200,2.0,2.0,47.0
3,Ready To Move,Mysore Road,2 BHK,1170,2.0,2.0,65.0
3,17-Dec,NRI Layout,2 BHK,1125,2.0,2.0,45.56
3,18-May,Devanahalli,1 BHK,655 - 742,1.0,0.0,28.57
3,Ready To Move,Seetharampalya,2 BHK,1250,2.0,2.0,90.0
3,19-Dec,Chandapura,2 BHK,1025,2.0,2.0,27.68
3,Ready To Move,Yelahanka,3 BHK,1075,2.0,2.0,36.0
